content,score,label,text_clean,text_StopWord,text_tokens,text_steamindo
"Gamenya terbaik sih, pemandangannya bagus, jalan ceritanya juga menarik, desain karakternya bagus. Cuma farming dan eksplorasinya yang susah karena banyak banget yang harus dilakukan, jadi bagi yang waktu luangnya dikit ya bakal lama progressnya. Sayangnya gak ada fitur catatan buat mencatat segala sesuatu in-game",5,Positif,gamenya terbaik sih pemandangannya bagus jalan ceritanya juga menarik desain karakternya bagus cuma farming dan eksplorasinya yang susah karena banyak banget yang harus dilakukan jadi bagi yang waktu luangnya dikit ya bakal lama progressnya sayangnya gak ada fitur catatan buat mencatat segala sesuatu ingame,gamenya terbaik sih pemandangannya bagus jalan ceritanya menarik desain karakternya bagus farming eksplorasinya susah banget luangnya dikit ya progressnya sayangnya gak fitur catatan mencatat ingame,"['gamenya', 'terbaik', 'sih', 'pemandangannya', 'bagus', 'jalan', 'ceritanya', 'menarik', 'desain', 'karakternya', 'bagus', 'farming', 'eksplorasinya', 'susah', 'banget', 'luangnya', 'dikit', 'ya', 'progressnya', 'sayangnya', 'gak', 'fitur', 'catatan', 'mencatat', 'ingame']",gamenya baik sih pandang bagus jalan cerita tarik desain karakter bagus farming eksplorasi susah banget luang dikit ya progressnya sayang gak fitur catat catat ingame
"Tolong klo bikin event yg simpel aja, jangan tcg ribet! Udh primo sedikit event nya ribet peak! Tau ga main ni game setres, udh explore malah dapat karakter yg lain itu ngontol banget",1,Negatif,tolong klo bikin event yg simpel aja jangan tcg ribet udh primo sedikit event nya ribet peak tau ga main ni game setres udh explore malah dapat karakter yg lain itu ngontol banget,tolong klo bikin event yg simpel aja tcg ribet udh primo event nya ribet peak tau ga main ni game setres udh explore karakter yg ngontol banget,"['tolong', 'klo', 'bikin', 'event', 'yg', 'simpel', 'aja', 'tcg', 'ribet', 'udh', 'primo', 'event', 'nya', 'ribet', 'peak', 'tau', 'ga', 'main', 'ni', 'game', 'setres', 'udh', 'explore', 'karakter', 'yg', 'ngontol', 'banget']",tolong klo bikin event yg simpel aja tcg ribet udh primo event nya ribet peak tau ga main ni game tres udh explore karakter yg ngontol banget
"Matap keren ping sinyal gak begitu ngaruh,,yang penting ada kuota",5,Positif,matap keren ping sinyal gak begitu ngaruhyang penting ada kuota,matap keren ping sinyal gak ngaruhyang kuota,"['matap', 'keren', 'ping', 'sinyal', 'gak', 'ngaruhyang', 'kuota']",matap keren ping sinyal gak ngaruhyang kuota
Petualang yg bebas.makin lama main makin eror g ada bar hp musuh di Padang pasir. Karna tekatinya saling Ter hubung saya kasih 4 bintang . 1 nya lagi entar kalau udah di per baikin,4,Positif,petualang yg bebasmakin lama main makin eror g ada bar hp musuh di padang pasir karna tekatinya saling ter hubung saya kasih  bintang   nya lagi entar kalau udah di per baikin,petualang yg bebasmakin main eror g bar hp musuh padang pasir karna tekatinya ter hubung kasih bintang nya entar udah baikin,"['petualang', 'yg', 'bebasmakin', 'main', 'eror', 'g', 'bar', 'hp', 'musuh', 'padang', 'pasir', 'karna', 'tekatinya', 'ter', 'hubung', 'kasih', 'bintang', 'nya', 'entar', 'udah', 'baikin']",tualang yg bebasmakin main eror g bar hp musuh padang pasir karna tekat ter hubung kasih bintang nya entar udah baikin
Game nya sangat bagus makan ram nya dikit banget cuma 300an mb,5,Positif,game nya sangat bagus makan ram nya dikit banget cuma an mb,game nya bagus makan ram nya dikit banget an mb,"['game', 'nya', 'bagus', 'makan', 'ram', 'nya', 'dikit', 'banget', 'an', 'mb']",game nya bagus makan ram nya dikit banget an mb
"Jangan dengerin mereka yang ngeluhin hadiah anniversary, ngga bersyukur banget jadi orang, 10 kali gacha gratis udah bagus banget. Dan btw makasih bgt mihoyo udh memberikan kami hadiah seperti ini, saya benar benar menghargainya, saya kasih 5 bintang",5,Positif,jangan dengerin mereka yang ngeluhin hadiah anniversary ngga bersyukur banget jadi orang  kali gacha gratis udah bagus banget dan btw makasih bgt mihoyo udh memberikan kami hadiah seperti ini saya benar benar menghargainya saya kasih  bintang,dengerin ngeluhin hadiah anniversary ngga bersyukur banget orang kali gacha gratis udah bagus banget btw makasih bgt mihoyo udh hadiah menghargainya kasih bintang,"['dengerin', 'ngeluhin', 'hadiah', 'anniversary', 'ngga', 'bersyukur', 'banget', 'orang', 'kali', 'gacha', 'gratis', 'udah', 'bagus', 'banget', 'btw', 'makasih', 'bgt', 'mihoyo', 'udh', 'hadiah', 'menghargainya', 'kasih', 'bintang']",dengerin ngeluhin hadiah anniversary ngga syukur banget orang kali gacha gratis udah bagus banget btw makasih bgt mihoyo udh hadiah harga kasih bintang
"lag paraahh setelah update 3.7 tolong kalo bisa di ringankan mihoyo karna saya masih suka main game ini jadi mohon keringanannya. kalo bisa yg versi mobile tiap update sizenya jangan terlalu besar kasian nnti pengguna mobile yg devicenya pas""aan. jangan sampe kedepanya nnti game ini malah sepi pemain karna kebanyakan mengeluh soal update game yg makin lama makin besar thx",5,Positif,lag paraahh setelah update  tolong kalo bisa di ringankan mihoyo karna saya masih suka main game ini jadi mohon keringanannya kalo bisa yg versi mobile tiap update sizenya jangan terlalu besar kasian nnti pengguna mobile yg devicenya pasaan jangan sampe kedepanya nnti game ini malah sepi pemain karna kebanyakan mengeluh soal update game yg makin lama makin besar thx,lag paraahh update tolong kalo ringankan mihoyo karna suka main game mohon keringanannya kalo yg versi mobile update sizenya kasian nnti pengguna mobile yg devicenya pasaan sampe kedepanya nnti game sepi pemain karna kebanyakan mengeluh update game yg thx,"['lag', 'paraahh', 'update', 'tolong', 'kalo', 'ringankan', 'mihoyo', 'karna', 'suka', 'main', 'game', 'mohon', 'keringanannya', 'kalo', 'yg', 'versi', 'mobile', 'update', 'sizenya', 'kasian', 'nnti', 'pengguna', 'mobile', 'yg', 'devicenya', 'pasaan', 'sampe', 'kedepanya', 'nnti', 'game', 'sepi', 'pemain', 'karna', 'kebanyakan', 'mengeluh', 'update', 'game', 'yg', 'thx']",lag paraahh update tolong kalo ringan mihoyo karna suka main game mohon ringan kalo yg versi mobile update sizenya kasi nnti guna mobile yg devicenya pasaan sampe depa nnti game sepi main karna banyak keluh update game yg thx
Satu hal yang kurang di game ini adalah masalah koneksi.Entah harus berapa mbps wifi/kuota yang saya perlukan untuk main game ini dengan ping yang lancar dibawah 100 ms.Semakin update semakin naik ping di game ini.Mohon diperbaiki masalah koneksi di genshin impact agar pemain bisa bermain dengan lancar,4,Positif,satu hal yang kurang di game ini adalah masalah koneksientah harus berapa mbps wifikuota yang saya perlukan untuk main game ini dengan ping yang lancar dibawah  mssemakin update semakin naik ping di game inimohon diperbaiki masalah koneksi di genshin impact agar pemain bisa bermain dengan lancar,game koneksientah mbps wifikuota perlukan main game ping lancar dibawah mssemakin update ping game inimohon diperbaiki koneksi genshin impact pemain bermain lancar,"['game', 'koneksientah', 'mbps', 'wifikuota', 'perlukan', 'main', 'game', 'ping', 'lancar', 'dibawah', 'mssemakin', 'update', 'ping', 'game', 'inimohon', 'diperbaiki', 'koneksi', 'genshin', 'impact', 'pemain', 'bermain', 'lancar']",game koneksientah mbps wifikuota perlu main game ping lancar bawah mssemakin update ping game inimohon baik koneksi genshin impact main main lancar
"Game paling recommended, game android paling niat dibuat karena update terus kaya di PC. Recommended bgt lah y",5,Positif,game paling recommended game android paling niat dibuat karena update terus kaya di pc recommended bgt lah y,game recommended game android niat update kaya pc recommended bgt y,"['game', 'recommended', 'game', 'android', 'niat', 'update', 'kaya', 'pc', 'recommended', 'bgt', 'y']",game recommended game android niat update kaya pc recommended bgt y
"Nih versi android makin update makin bengkak, dulu inget banget pas main masih 10gb lancar disetingan high",2,Negatif,nih versi android makin update makin bengkak dulu inget banget pas main masih gb lancar disetingan high,nih versi android update bengkak inget banget pas main gb lancar disetingan high,"['nih', 'versi', 'android', 'update', 'bengkak', 'inget', 'banget', 'pas', 'main', 'gb', 'lancar', 'disetingan', 'high']",nih versi android update bengkak inget banget pas main gb lancar ting high
"Game RPG adventure yang paling aku suka dari segi grafik, gameplay, character, event, dan story sudah bagus banget. Saran dari aku buat developer, tolong kasih fitur ""replay cutscene quest"" yang dimana nanti kita bisa lihat lagi cutscene misi² yg sudah kita jalani. Lalu perbaiki masalah jaringan ping nya juga, aku main jaringan nya selalu kuning di atas 90mbps. Selebihnya sudah bagus, terima kasih developer!",5,Positif,game rpg adventure yang paling aku suka dari segi grafik gameplay character event dan story sudah bagus banget saran dari aku buat developer tolong kasih fitur replay cutscene quest yang dimana nanti kita bisa lihat lagi cutscene misi yg sudah kita jalani lalu perbaiki masalah jaringan ping nya juga aku main jaringan nya selalu kuning di atas mbps selebihnya sudah bagus terima kasih developer,game rpg adventure suka segi grafik gameplay character event story bagus banget saran developer tolong kasih fitur replay cutscene quest dimana lihat cutscene misi yg jalani perbaiki jaringan ping nya main jaringan nya kuning mbps selebihnya bagus terima kasih developer,"['game', 'rpg', 'adventure', 'suka', 'segi', 'grafik', 'gameplay', 'character', 'event', 'story', 'bagus', 'banget', 'saran', 'developer', 'tolong', 'kasih', 'fitur', 'replay', 'cutscene', 'quest', 'dimana', 'lihat', 'cutscene', 'misi', 'yg', 'jalani', 'perbaiki', 'jaringan', 'ping', 'nya', 'main', 'jaringan', 'nya', 'kuning', 'mbps', 'selebihnya', 'bagus', 'terima', 'kasih', 'developer']",game rpg adventure suka segi grafik gameplay character event story bagus banget saran developer tolong kasih fitur replay cutscene quest mana lihat cutscene misi yg jalan baik jaring ping nya main jaring nya kuning mbps lebih bagus terima kasih developer
"maaf untuk saat ini saya turun kan bintang nya menjadi bintang 1, karna aplikasi genshin impact saya tidak bisa masuk, tidak bisa login dan hanya samapai logo hoyovers dan tidak pernah masuk kedalamnya, padahal 2 hari sebelum nya sesudah update itu masih bisa login, samapai sekarang aplikasi genshin impact saya masih belum bisa berjalan seperti semula. 😓😤😡",5,Positif,maaf untuk saat ini saya turun kan bintang nya menjadi bintang  karna aplikasi genshin impact saya tidak bisa masuk tidak bisa login dan hanya samapai logo hoyovers dan tidak pernah masuk kedalamnya padahal  hari sebelum nya sesudah update itu masih bisa login samapai sekarang aplikasi genshin impact saya masih belum bisa berjalan seperti semula ,maaf turun bintang nya bintang karna aplikasi genshin impact masuk login samapai logo hoyovers masuk kedalamnya nya update login samapai aplikasi genshin impact berjalan,"['maaf', 'turun', 'bintang', 'nya', 'bintang', 'karna', 'aplikasi', 'genshin', 'impact', 'masuk', 'login', 'samapai', 'logo', 'hoyovers', 'masuk', 'kedalamnya', 'nya', 'update', 'login', 'samapai', 'aplikasi', 'genshin', 'impact', 'berjalan']",maaf turun bintang nya bintang karna aplikasi genshin impact masuk login samapai logo hoyovers masuk dalam nya update login samapai aplikasi genshin impact jalan
"Mendapatkan artefak dengan stats yang diinginkan sangat sulit, padahal sudah 2 bulan lebih main domain yang sama tapi belum pernah dapat yang bagus malah di spam def dan hp. Tolong Mihoyo permudahkan mendapatkan artefak dengan stats yang bagus, terima kasih.",2,Negatif,mendapatkan artefak dengan stats yang diinginkan sangat sulit padahal sudah  bulan lebih main domain yang sama tapi belum pernah dapat yang bagus malah di spam def dan hp tolong mihoyo permudahkan mendapatkan artefak dengan stats yang bagus terima kasih,artefak stats sulit main domain bagus spam def hp tolong mihoyo permudahkan artefak stats bagus terima kasih,"['artefak', 'stats', 'sulit', 'main', 'domain', 'bagus', 'spam', 'def', 'hp', 'tolong', 'mihoyo', 'permudahkan', 'artefak', 'stats', 'bagus', 'terima', 'kasih']",artefak stats sulit main domain bagus spam def hp tolong mihoyo mudah artefak stats bagus terima kasih
Gamenya lumayan seru story bagus grafik nya bagus paimon diajak ngobrol juga asik 10/10 game terbaik yang pernah gw mainin setelah mobile legend,5,Positif,gamenya lumayan seru story bagus grafik nya bagus paimon diajak ngobrol juga asik  game terbaik yang pernah gw mainin setelah mobile legend,gamenya lumayan seru story bagus grafik nya bagus paimon diajak ngobrol asik game terbaik gw mainin mobile legend,"['gamenya', 'lumayan', 'seru', 'story', 'bagus', 'grafik', 'nya', 'bagus', 'paimon', 'diajak', 'ngobrol', 'asik', 'game', 'terbaik', 'gw', 'mainin', 'mobile', 'legend']",gamenya lumayan seru story bagus grafik nya bagus paimon ajak ngobrol asik game baik gw mainin mobile legend
"Game bagus dan karakternya menarik semua, ada yang dari rubah sampai manusia, suka deh!, Semogaa hoyoverse kedepannya bikin game yang menarik seperti ini!",5,Positif,game bagus dan karakternya menarik semua ada yang dari rubah sampai manusia suka deh semogaa hoyoverse kedepannya bikin game yang menarik seperti ini,game bagus karakternya menarik rubah manusia suka deh semogaa hoyoverse kedepannya bikin game menarik,"['game', 'bagus', 'karakternya', 'menarik', 'rubah', 'manusia', 'suka', 'deh', 'semogaa', 'hoyoverse', 'kedepannya', 'bikin', 'game', 'menarik']",game bagus karakter tarik rubah manusia suka deh semogaa hoyoverse depan bikin game tarik
"Knp pingnya tiba² jadi makin jelek sih, awalnya emang merah tpi malah naik jadi 400 an, jadi gk bisa main",1,Negatif,knp pingnya tiba jadi makin jelek sih awalnya emang merah tpi malah naik jadi  an jadi gk bisa main,knp pingnya jelek sih emang merah tpi an gk main,"['knp', 'pingnya', 'jelek', 'sih', 'emang', 'merah', 'tpi', 'an', 'gk', 'main']",knp pingnya jelek sih emang merah tpi an gk main
"Untuk developer dan cs nya nih, akun gw selalu hilang terus udah di f2a tetep aja jebol, udah lapor akun hilang di cs genshin, malah permohonan ditolak, dah lah kapok gw main game ginian.",4,Positif,untuk developer dan cs nya nih akun gw selalu hilang terus udah di fa tetep aja jebol udah lapor akun hilang di cs genshin malah permohonan ditolak dah lah kapok gw main game ginian,developer cs nya nih akun gw hilang udah fa tetep aja jebol udah lapor akun hilang cs genshin permohonan ditolak dah kapok gw main game ginian,"['developer', 'cs', 'nya', 'nih', 'akun', 'gw', 'hilang', 'udah', 'fa', 'tetep', 'aja', 'jebol', 'udah', 'lapor', 'akun', 'hilang', 'cs', 'genshin', 'permohonan', 'ditolak', 'dah', 'kapok', 'gw', 'main', 'game', 'ginian']",developer cs nya nih akun gw hilang udah fa tetep aja jebol udah lapor akun hilang cs genshin mohon tolak dah kapok gw main game ginian
"Ukuran file sampai 25 gb, ukuran file akan terus bertambah disaat update, Mohon di perkecil ukuran filenya,,",5,Positif,ukuran file sampai  gb ukuran file akan terus bertambah disaat update mohon di perkecil ukuran filenya,ukuran file gb ukuran file bertambah disaat update mohon perkecil ukuran filenya,"['ukuran', 'file', 'gb', 'ukuran', 'file', 'bertambah', 'disaat', 'update', 'mohon', 'perkecil', 'ukuran', 'filenya']",ukur file gb ukur file tambah saat update mohon kecil ukur filenya
"Loading nya kok lama bgt sih padahal aku LG pake wifi loh,dan sinyalnya bagus",2,Negatif,loading nya kok lama bgt sih padahal aku lg pake wifi lohdan sinyalnya bagus,loading nya bgt sih lg pake wifi lohdan sinyalnya bagus,"['loading', 'nya', 'bgt', 'sih', 'lg', 'pake', 'wifi', 'lohdan', 'sinyalnya', 'bagus']",loading nya bgt sih lg pake wifi lohdan sinyal bagus
Seru banget grafiknya ok bgt sih... Klo di hp2 tertentu mungkin ngelag ya tapi klo aku jujur enggak ini udh bagus bgt!,5,Positif,seru banget grafiknya ok bgt sih klo di hp tertentu mungkin ngelag ya tapi klo aku jujur enggak ini udh bagus bgt,seru banget grafiknya ok bgt sih klo hp ngelag ya klo jujur udh bagus bgt,"['seru', 'banget', 'grafiknya', 'ok', 'bgt', 'sih', 'klo', 'hp', 'ngelag', 'ya', 'klo', 'jujur', 'udh', 'bagus', 'bgt']",seru banget grafik ok bgt sih klo hp ngelag ya klo jujur udh bagus bgt
"Game yang tampilan baik dan sangat bagus, ramah untuk anak kecil, aplikasinya juga GK sampe 30GB",5,Positif,game yang tampilan baik dan sangat bagus ramah untuk anak kecil aplikasinya juga gk sampe gb,game tampilan bagus ramah anak aplikasinya gk sampe gb,"['game', 'tampilan', 'bagus', 'ramah', 'anak', 'aplikasinya', 'gk', 'sampe', 'gb']",game tampil bagus ramah anak aplikasi gk sampe gb
"The best sih, mungkin kalau ada map bawah tanah bisa lebih mudah buat menjelajahnya",5,Positif,the best sih mungkin kalau ada map bawah tanah bisa lebih mudah buat menjelajahnya,the best sih map tanah mudah menjelajahnya,"['the', 'best', 'sih', 'map', 'tanah', 'mudah', 'menjelajahnya']",the best sih map tanah mudah jelajah
"game nya seru bgttt, grafiknya juga oke sekalii, ceritanya seru, karakter nya keren keren 😎🆒",5,Positif,game nya seru bgttt grafiknya juga oke sekalii ceritanya seru karakter nya keren keren ,game nya seru bgttt grafiknya oke sekalii ceritanya seru karakter nya keren keren,"['game', 'nya', 'seru', 'bgttt', 'grafiknya', 'oke', 'sekalii', 'ceritanya', 'seru', 'karakter', 'nya', 'keren', 'keren']",game nya seru bgttt grafik oke sekali cerita seru karakter nya keren keren
"Game nya udah bagus overall, dari grafik sudah memadai, backsound juga sudah bagus disaat momen yg tepat, tapi masalah nya koq lama kelamaan ini game bikin ngelag dan nguras baterai yg sangat banyak. Baru di mainin 10 menit, grafik sudah low walaupun hp ku ini sudah cukup melewati rata rata spek yg disarankan, hp ku baru main 10 menit dari baterai nya 100% jadi 78%, terus bikin panas, dan panas itu membuat hp ku ini semakin ngelag... Untuk developer tolong gamenya di kompres lebih ringan mb nya",4,Positif,game nya udah bagus overall dari grafik sudah memadai backsound juga sudah bagus disaat momen yg tepat tapi masalah nya koq lama kelamaan ini game bikin ngelag dan nguras baterai yg sangat banyak baru di mainin  menit grafik sudah low walaupun hp ku ini sudah cukup melewati rata rata spek yg disarankan hp ku baru main  menit dari baterai nya  jadi  terus bikin panas dan panas itu membuat hp ku ini semakin ngelag untuk developer tolong gamenya di kompres lebih ringan mb nya,game nya udah bagus overall grafik memadai backsound bagus disaat momen yg nya koq game bikin ngelag nguras baterai yg mainin menit grafik low hp ku melewati spek yg disarankan hp ku main menit baterai nya bikin panas panas hp ku ngelag developer tolong gamenya kompres ringan mb nya,"['game', 'nya', 'udah', 'bagus', 'overall', 'grafik', 'memadai', 'backsound', 'bagus', 'disaat', 'momen', 'yg', 'nya', 'koq', 'game', 'bikin', 'ngelag', 'nguras', 'baterai', 'yg', 'mainin', 'menit', 'grafik', 'low', 'hp', 'ku', 'melewati', 'spek', 'yg', 'disarankan', 'hp', 'ku', 'main', 'menit', 'baterai', 'nya', 'bikin', 'panas', 'panas', 'hp', 'ku', 'ngelag', 'developer', 'tolong', 'gamenya', 'kompres', 'ringan', 'mb', 'nya']",game nya udah bagus overall grafik pada backsound bagus saat momen yg nya koq game bikin ngelag nguras baterai yg mainin menit grafik low hp ku lewat spek yg saran hp ku main menit baterai nya bikin panas panas hp ku ngelag developer tolong gamenya kompres ringan mb nya
Ping / jaringannya benerin min. Player terkendala di masalah itu. Jambred mulu.,1,Negatif,ping  jaringannya benerin min player terkendala di masalah itu jambred mulu,ping jaringannya benerin min player terkendala jambred mulu,"['ping', 'jaringannya', 'benerin', 'min', 'player', 'terkendala', 'jambred', 'mulu']",ping jaring benerin min player kendala jambred mulu
"Game nya bagus saya suka, tapi yang menjadi masalahny adalah bug,, yang dimana map saya tidak ada rumput dan teks damage, serta terkadang pepohonan menjadi 2d,, padahal grafik nya sudah saya setting menjadi tinggi, mohon diperbaiki",4,Positif,game nya bagus saya suka tapi yang menjadi masalahny adalah bug yang dimana map saya tidak ada rumput dan teks damage serta terkadang pepohonan menjadi d padahal grafik nya sudah saya setting menjadi tinggi mohon diperbaiki,game nya bagus suka masalahny bug dimana map rumput teks damage terkadang pepohonan d grafik nya setting mohon diperbaiki,"['game', 'nya', 'bagus', 'suka', 'masalahny', 'bug', 'dimana', 'map', 'rumput', 'teks', 'damage', 'terkadang', 'pepohonan', 'd', 'grafik', 'nya', 'setting', 'mohon', 'diperbaiki']",game nya bagus suka masalahny bug mana map rumput teks damage terkadang pohon d grafik nya setting mohon baik
Gamenya bagus plus ceritanya juga keren apa lagi buat karakternya,5,Positif,gamenya bagus plus ceritanya juga keren apa lagi buat karakternya,gamenya bagus plus ceritanya keren karakternya,"['gamenya', 'bagus', 'plus', 'ceritanya', 'keren', 'karakternya']",gamenya bagus plus cerita keren karakter
